name,naics_description,naics_code,address,city,state,county,zip,phone,website,excess_food_low,excess_food_high,unique_id,data_source
"001 Vintners, LLC",Wineries,312130,451 Jackson St FL 3,San Francisco,CA,San Francisco,94111,,,19.8961205,63.817745,FMP29939,EPA 2023
1/2baked LLC,Retail Bakeries,311811,501 N Orange Ave,Azusa,CA,Los Angeles,91702,,,0.8867430000000001,2.8442700000000003,FMP2781,EPA 2023
101 Noodle Express,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour",311824,5408 Walnut Ave Ste A,Irvine,CA,Orange,92604,9496548542,www.101noodleexpress.com,,,FMP40162,EPA 2023
101 Noodle Express,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour",311824,1025 S Baldwin Ave,Arcadia,CA,Los Angeles,91007,,www.101noodleexpress.com,,,FMP42639,EPA 2023
"12 Oaks Desserts, LLC",Retail Bakeries,311811,948 Lake St APT F,Venice,CA,Los Angeles,90291,,,18.514755,59.386950000000006,FMP28904,EPA 2023
14 Below,Distilleries,312140,1348 14th St,Santa Monica,CA,Los Angeles,90404,,www.14below.com,5.1119825,16.396925,FMP17123,EPA 2023
1736 Family Crisis Center,Retail Bakeries,311811,12519 Burbank Blvd,Valley Village,CA,Los Angeles,91607,8187662209,www.1736familycrisiscenter.org,,,FMP40537,EPA 2023
"1819 Baker St, LLC",Retail Bakeries,311811,1730 Sanchez St,San Francisco,CA,San Francisco,94131,,,17.453854,55.98406000000001,FMP28144,EPA 2023
1983 Bakery LLC,Retail Bakeries,311811,3950 W Hazard Ave APT H,Santa Ana,CA,Orange,92703,,,0.8867430000000001,2.8442700000000003,FMP2443,EPA 2023
1st Treat Yogurt Corporation,Retail Bakeries,311811,2127 1st St,Livermore,CA,Alameda,94550,9252924244,www.1sttreatyogurt.com,14.6771045,47.077505,FMP25684,EPA 2023
"2 Cool Beans, LLC",Retail Bakeries,311811,4612 La Cesta Pl,Tarzana,CA,Los Angeles,91356,,,2.249691,7.215990000000001,FMP10739,EPA 2023
