processing_facility_id,name,address,city,county,zip,state,latitude,longitude,geom,primary_ag_product,process_type,byproducts,quantities,processing_capacity_products,processing_capacity_ton_hr,general_source_info,source_url,CARB_facility_id,air_district,EPA_facility_id,NAICS_code,NAICS_code_description,phone_number,website,excess_food_estimate_low,excess_food_estimate_high,etl_run_id,lineage_group_id,created_at,updated_at,geocode_status
1,4 CORNER GROWERS LLC,9051 AGUAS FRIAS RD,CHICO,Butte,95928,CA,39.6333364,-121.8654062,,Almonds,Unknown (Assumed Hulling And Shelling,"Hulls, Shells",,,,Record Request,,,Butte,,,,,,,,5,5,14:00.5,14:00.5,success
2,A & R CUNHA FARMS INC,5069 W CLAYTON,FRESNO,Fresno,93706,CA,36.6395197,-119.8832428,,Almonds,Almond Hulling,"Hulls, Shells","6453.980928, 4083.130791",,,Record Request,,2,Valley,,,,,,,,5,5,14:00.5,14:00.5,success
3,ADRIAN RANCH,26554 E. RIVER RD,ESCALON,San Joaquin,95320,CA,37.757383,-120.9821665,,Almonds,Almond Hulling & Shelling,"Hulls, Shells","1105.93, 699.67",,,Record Request,,9,Valley,,,,,,,,5,5,14:00.5,14:00.5,success
4,ALMOND TREE HULLING CO,23175 RD 16,CHOWCHILLA,Madera,93610,CA,37.0861803,-120.2565377,,Almonds,Almond Hulling & Shelling,"Hulls, Shells","33570.88, 21238.72",,,Record Request,,22,Valley,,,,,,,,5,5,14:00.5,14:00.5,success
5,ALMOND ORCHARDS INC,9409 TROXEL RD,CHICO,Butte,95938,CA,39.6478491,-121.8435109,,Almonds,Unknown (Assumed Hulling And Shelling,"Hulls, Shells",,,,Record Request,,,Butte,,,,,,,,5,5,14:00.5,14:00.5,success
6,ANTONOWICH HULLING,2656 HOUSE AVE,DURHAM,Butte,95938,CA,39.6251999,-121.8117102,,Almonds,Unknown (Assumed Hulling And Shelling,"Hulls, Shells",,,,Record Request,,709,Butte,,,,,,,,5,5,14:00.5,14:00.5,success
7,ASSOCIATED HULLING AND SHELLING LP,4506 SAYLOR ROAD,DENAIR,Stanislaus,95316,CA,37.5724303,-120.8151822,,Almonds,Almond Hulling & Shelling,"Hulls, Shells","4723.6, 2988.4",,,Record Request,,2109,Valley,,,,,,,,5,5,14:00.5,14:00.5,success
8,B & V FARMS,1737 KIERNAN AVENUE,MODESTO,Stanislaus,95356,CA,37.713623,-121.0241925,,Almonds,Almond Hulling & Shelling,"Hulls, Shells","980, 620",,,Record Request,,1778,Valley,,,,,,,,5,5,14:00.5,14:00.5,success
9,BARINDELLI FARMS INC,3700 S CARPENTER RD,MODESTO,Stanislaus,95358,CA,37.5838629,-121.0298641,,Almonds,Almond Hulling & Shelling,"Hulls, Shells","9038.18207, 5718.033555",,,Record Request,,1747,Valley,,,,,,,,5,5,14:00.5,14:00.5,success
10,BERTAGNA ORCHARDS INC,3329 HEGAN LN,CHICO,Butte,95928,CA,39.688715,-121.8385402,,Almonds,Unknown (Assumed Hulling And Shelling,"Hulls, Shells",,,,Record Request,,,Butte,,,,,,,,5,5,14:00.5,14:00.5,success
11,BRADEN FARMS,1348 MEIKLE RD,DENAIR,Stanislaus,95316,CA,37.6109744,-120.7180125,,Almonds,Almond Hulling & Shelling,"Hulls, Shells","18882.64, 11946.16",,,Record Request,,1739,Valley,,,,,,,,5,5,14:00.5,14:00.5,success
12,C & G FARMS,21602 S CARROLTON AVE,RIPON,San Joaquin,95366,CA,37.763618,-121.065486,,Almonds,Almond Hulling & Shelling,"Hulls, Shells","16660, 10540",,,Record Request,,330,Valley,,,,,,,,5,5,14:00.5,14:00.5,success
13,CAL-ALMOND,5237 CHRISTOFFERSON,TURLOCK,Stanislaus,95380,CA,37.4417334,-120.9098446,,Almonds,Almond Hulling & Shelling,"Hulls, Shells","3675, 2325",,,Record Request,,1784,Valley,,,,,,,,5,5,14:00.5,14:00.5,success
14,CAMPOS BROS,15516 S WALNUT AVE,CARUTHERS,Fresno,93609,CA,36.5105011,-119.8084204,,Almonds,Almond Hulling & Shelling,"Hulls, Shells","12896.31, 8158.89",,,Record Request,,230,Valley,,,,,,,,5,5,14:00.5,14:00.5,success
15,CAPAY CANYON RANCH,14650 COUNTY RD 87,ESPARTO,Yolo,95627,CA,38.7270144,-122.012235,,Almonds,Unknown (Assumed Hulling And Shelling,"Hulls, Shells","1541.05, 974.95",,,Record Request,,,Yolo Solano,,,,,,,,5,5,14:00.5,14:00.5,success
16,CAVALLETTO RANCHES,22483 RD 20 1/2,CHOWCHILLA,Madera,93610,CA,37.0762044,-120.1744665,,Almonds,Almond Hulling,"Hulls, Shells","486.716994, 307.9229962",,,Record Request,,790,Valley,,,,,,,,5,5,14:00.5,14:00.5,success
17,CENTRAL CALIFORNIA ALMOND GROWERS ASSOCIATION(1),10910 E MCKINLEY AVE,KERMAN,Fresno,93630,CA,36.7641085,-120.0063075,,Almonds,Almond Hulling & Shelling,"Hulls, Shells","4229.68, 2675.92",,,Record Request,,250,Valley,,,,,,,,5,5,14:00.5,14:00.5,success
18,CENTRAL CALIFORNIA ALMOND GROWERS ASSOCIATION(2),8325 S MADERA AVE,SANGER,Fresno,93657,CA,36.61413,-120.0661915,,Almonds,Almond Hulling & Shelling,"Hulls, Shells","13414.73, 8486.87",,,Record Request,,258,Valley,,,,,,,,5,5,14:00.5,14:00.5,success
19,CENTRAL VALLEY ALMOND ASSN,12655 GARZOLI AVE,MCFARLAND,Kern,93250,CA,35.6928834,-119.2415234,,Almonds,Almond Hulling & Shelling,"Hulls, Shells","44706.62, 28283.78",,,Record Request,,541,Valley,,,,,,,,5,5,14:00.5,14:00.5,success
20,CHARTER OAKS HULLING & SHELLING,437 WILDWOOD RD,ARBUCKLE,Colusa,95912,CA,38.963707,-122.06323,,Almonds,Unknown (Assumed Hulling And Shelling,"Hulls, Shells",,,,Record Request,,,Colusa,,,,,,,,5,5,14:00.5,14:00.5,success
21,CHICO NUT HULLING & SHELLING CO LLC,1765 CORTINA SCHOOL RD,ARBUCKLE,Colusa,95912,CA,39.0835343,-122.1463998,,Almonds,Unknown (Assumed Hulling And Shelling,"Hulls, Shells",,,,Record Request,,,Colusa,,,,,,,,5,5,14:00.5,14:00.5,success
22,CLAXTON RANCH,6480 BRUENER RD,ARBUCKLE,Colusa,95912,CA,38.9366015,-122.079487,,Almonds,Unknown (Assumed Hulling And Shelling,"Hulls, Shells",,,,Record Request,,,Colusa,,,,,,,,5,5,14:00.5,14:00.5,success
23,CORTEZ GROWERS ASSN INC,12714 CORTEZ AVENUE,TURLOCK,Stanislaus,95380,CA,37.4730614,-120.7379389,,Almonds,Almond Hulling & Shelling,"Hulls, Shells","39156.88, 24772.72",,,Record Request,,1222,Valley,,,,,,,,5,5,14:00.5,14:00.5,success
24,CORTINA HULLING AND SHELLING LLC (1),14189 CR 90A,WOODLAND,Yolo,95695,CA,38.6785157,-121.7732971,,Almonds,Unknown (Assumed Hulling And Shelling,"Hulls, Shells","55007.34978, 34800.56823",,,Record Request,,,Yolo Solano,,,,,,,,5,5,14:00.5,14:00.5,success
25,CORTINA HULLING AND SHELLING LLC (2),1833 EVANS RD,WILLIAMS,Colusa,95987,CA,39.0873351,-122.1710715,,Almonds,Unknown (Assumed Hulling And Shelling,"Hulls, Shells",,,,Record Request,,,Colusa,,,,,,,,5,5,14:00.5,14:00.5,success
26,CROWN NUT COMPANY INC,31995 S CHRISMAN ROAD,TRACY,San Joaquin,95304,CA,37.6630284,-121.3988278,,Almonds,Almond Hulling & Shelling,"Hulls, Shells","8232.095703, 5208.060547",,,Record Request,,8613,Valley,,,,,,,,5,5,14:00.5,14:00.5,success
27,CUSTOM ALMONDS,7014 RD 160,EARLIMART,Tulare,93219,CA,35.9169973,-119.2142252,,Almonds,Almond Hulling,"Hulls, Shells","0, 0",,,Record Request,,632,Valley,,,,,,,,5,5,14:00.5,14:00.5,success
28,DUNLOP ALMOND HULLING,5055 BLUEGUM AVE,MODESTO,Stanislaus,95358,CA,37.6602712,-121.0872344,,Almonds,Almond Hulling & Shelling,"Hulls, Shells","565.7344287, 357.9136182",,,Record Request,,2101,Valley,,,,,,,,5,5,14:00.5,14:00.5,success
29,FAMOSO NUT CO LLC (1),14059 KYTE ROAD,MCFARLAND,Kern,93250,CA,35.6270286,-119.1336657,,Almonds,Almond Hulling & Shelling,"Hulls, Shells","10110.17, 6396.23",,,Record Request,,528,Valley,,,,,,,,5,5,14:00.5,14:00.5,success
